date,day,due_type,due_detail,mark_type,who,week,,,
1/10/22,Monday,Break,Break,,,0,,,
1/11/22,Tuesday,Break,Break,,,0,,,
1/12/22,Wednesday,Classes Begin,Classes Begin,,,0,,,
1/13/22,Thursday,,,,,0,,,
1/14/22,Friday,,,,,0,,,
1/15/22,Saturday,,,,,0,,,
1/16/22,Sunday,Quiz,Q 00,Not marked,Individual,0,Syllabus,,
1/17/22,Monday,,,,,1,,,
1/18/22,Tuesday,,,,,1,,,
1/19/22,Wednesday,,,,,1,,,
1/20/22,Thursday,,,,,1,,,
1/21/22,Friday,Reflection,R 01,Marked,Individual,1,Data Science By Whom?,,
1/22/22,Saturday,,,,,1,,,
1/23/22,Sunday,,,,,1,,,
1/24/22,Monday,,,,,2,,,
1/25/22,Tuesday,,,,,2,,,
1/26/22,Wednesday,Lab,L 01,Not marked,Individual,2,Hello DCS!,,
1/27/22,Thursday,,,,,2,,,
1/28/22,Friday,Homework,HW 01,Not marked,Individual,2,Pet names,,
1/29/22,Saturday,,,,,2,,,
1/30/22,Sunday,Quiz,Q 01,Marked,Individual,2,Visualizing Data,,
1/31/22,Monday,,,,,3,Team Formation,,
2/1/22,Tuesday,,,,,3,,,
2/2/22,Wednesday,Lab,L 02,Marked,Individual,3,Plastic Waste,,
2/3/22,Thursday,,,,,3,,,
2/4/22,Friday,Homework,HW 02,Marked,Individual,3,Airbnb,,
2/5/22,Saturday,,,,,3,,,
2/6/22,Sunday,Quiz,Q 02,Marked,Individual,3,Data wrangling,,
2/7/22,Monday,Feedback survey,Survey,Not marked,Individual,4,,,
2/8/22,Tuesday,,,,,4,,,
2/9/22,Wednesday,Lab,L 03,Marked,Team,4,Nobel laureates,,
2/10/22,Thursday,,,,,4,,,
2/11/22,Friday,Homework,HW 03,Marked,Individual,4,Road Traffic,,
2/12/22,Saturday,Project,Contract,Marked,Team,4,,,
2/13/22,Sunday,Quiz,Q 03,Marked,Individual,4,Data wrangling and visualization,,
2/14/22,Monday,,,,,5,,,
2/15/22,Tuesday,,,,,5,,,
2/16/22,Wednesday,,,,,5,,,
2/17/22,Thursday,,,,,5,,,
2/18/22,Friday,Homework,HW 04,Marked,Individual,5,Majors,,
2/19/22,Saturday,Project,Proposal,Marked,Team,5,,,
2/20/22,Sunday,Quiz,Q 04,Marked,Individual,5,Coding style,,
2/21/22,Monday,Break,Break,,,Off,,,
2/22/22,Tuesday,Break,Break,,,Off,,,
2/23/22,Wednesday,Break,Break,,,Off,,,
2/24/22,Thursday,Break,Break,,,Off,,,
2/25/22,Friday,Break,Break,,,Off,,,
2/26/22,Saturday,Break,Break,,,Off,,,
2/27/22,Sunday,Break,Break,,,Off,,,
2/28/22,Monday,,,,,6,,,
3/1/22,Tuesday,Reflection,R 02,Marked,Individual,6,Field Trip Reflection,,update website
3/2/22,Wednesday,,,,,6,,,update website
3/3/22,Thursday,,,,,6,,,
3/4/22,Friday,Homework,HW 05,Marked,Individual,6,Legos,,Check on legos?
3/5/22,Saturday,Project,Proposal take 2,Marked,Team,6,,,
3/6/22,Sunday,Quiz,Q 05,Marked,Individual,6,Scape + iterate,,
3/7/22,Monday,Feedback survey,Survey,Not marked,Individual,7,,,
3/8/22,Tuesday,,,,,7,,,
3/9/22,Wednesday,Lab,L 04,Marked,Team,7,Art,,
3/10/22,Thursday,,,,,7,,,
3/11/22,Friday,Homework,HW 06 ,Marked,Team,7,Money in politics,,
3/12/22,Saturday,Reflection,R 03,Marked,Individual,7,Data Ethics,,
3/13/22,Sunday,Quiz,Q 06,Marked,Individual,7,Review,,
3/14/22,Monday,Project,Outline,Not marked,Team,8,,,
3/15/22,Tuesday,,,,,8,,,
3/16/22,Wednesday,Lab,L 05,Marked,Team,8,La Quinta,,Relabel
3/17/22,Thursday,,,,,8,,,
3/18/22,Friday,,,,,8,,,
3/19/22,Saturday,Reflection,R 04,Marked,Team,8,Data Ethics Canvas,,
3/20/22,Sunday,Quiz,Q 07,Marked,Individual,8,Simple linear regression,,
3/21/22,Monday,,,,,9,,,
3/22/22,Tuesday,,,,,9,,,
3/23/22,Wednesday,Lab,L 06,Marked,Team,9,Course evaluations,,**Make new lab on salaries
3/24/22,Thursday,Break,Break,,,9,,,
3/25/22,Friday,Homework,HW 07,Marked,Individual,9,Bike rentals DC,,Fix math errors
3/26/22,Saturday,Break,Break,,,9,,,
3/27/22,Sunday,Quiz,Q 08,Marked,Individual,9,,,
3/28/22,Monday,Project,Draft pres,Not marked,Team,10,,,
3/29/22,Tuesday,,,,,10,,,
3/30/22,Wednesday,,,,,10,,,
3/31/22,Thursday,,,,,10,,,
