date,day,due_type,due_detail,mark_type,who,week,,,
1/10/2022,Monday,Break,,,,0,,,
1/11/2022,Tuesday,Break,,,,0,,,
1/12/2022,Wednesday,Classes Begin,,,,0,,,
1/13/2022,Thursday,,,,,0,,,
1/14/2022,Friday,,,,,0,,,
1/15/2022,Saturday,,,,,0,,,
1/16/2022,Sunday,Quiz,Q 01,Not marked,Individual,0,Syllabus,,
1/17/2022,Monday,,,,,1,,,
1/18/2022,Tuesday,,,,,1,,,
1/19/2022,Wednesday,,,,,1,,,
1/20/2022,Thursday,,,,,1,,,
1/21/2022,Friday,Reflection,R 01,Marked,Individual,1,Data Science By Whom?,,
1/22/2022,Saturday,,,,,1,,,
1/23/2022,Sunday,,,,,1,,,
1/24/2022,Monday,,,,,2,,,
1/25/2022,Tuesday,,,,,2,,,
1/26/2022,Wednesday,Lab,L 01,Not marked,Individual,2,Hello DCS!,,
1/27/2022,Thursday,,,,,2,,,
1/28/2022,Friday,Homework,HW 01,Not marked,Individual,2,Pet names,,
1/29/2022,Saturday,,,,,2,,,
1/30/2022,Sunday,Quiz,Q 01,Marked,Individual,2,Visualizing Data,,
1/31/2022,Monday,,,,,3,Team Formation,,
2/1/2022,Tuesday,,,,,3,,,
2/2/2022,Wednesday,Lab,L 02,Marked,Individual,3,Plastic Waste,,
2/3/2022,Thursday,,,,,3,,,
2/4/2022,Friday,Homework,HW 02,Marked,Individual,3,Airbnb,,
2/5/2022,Saturday,,,,,3,,,
2/6/2022,Sunday,Quiz,Q 02,Marked,Individual,3,Data wrangling,,
2/7/2022,Monday,Feedback survey,Survey,Not marked,Individual,4,,,
2/8/2022,Tuesday,,,,,4,,,
2/9/2022,Wednesday,Lab,L 03,Marked,Team,4,Nobel laureates,,
2/10/2022,Thursday,,,,,4,,,
2/11/2022,Friday,Homework,HW 03,Marked,Individual,4,Road Traffic,,
2/12/2022,Saturday,Project,Contract,Marked,Team,4,,,
2/13/2022,Sunday,Quiz,Q 03,Marked,Individual,4,Data wrangling and visualization,,
2/14/2022,Monday,,,,,5,,,
2/15/2022,Tuesday,,,,,5,,,
2/16/2022,Wednesday,,,,,5,,,
2/17/2022,Thursday,,,,,5,,,
2/18/2022,Friday,Homework,HW 04,Marked,Individual,5,Majors,,
2/19/2022,Saturday,Project,Proposal,Marked,Team,5,,,
2/20/2022,Sunday,Quiz,Q 04,Marked,Individual,5,Coding style,,
2/21/2022,Monday,Break,,,,Break,,,
2/22/2022,Tuesday,Break,,,,Break,,,
2/23/2022,Wednesday,Break,,,,Break,,,
2/24/2022,Thursday,Break,,,,Break,,,
2/25/2022,Friday,Break,,,,Break,,,
2/26/2022,Saturday,Break,,,,Break,,,
2/27/2022,Sunday,Break,,,,Break,,,
2/28/2022,Monday,,,,,6,,,
3/1/2022,Tuesday,Reflection,R 02,Marked,Individual,6,Field Trip Reflection,,update website
3/2/2022,Wednesday,,,,,6,,,update website
3/3/2022,Thursday,,,,,6,,,
3/4/2022,Friday,Homework,HW 05,Marked,Individual,6,Majors,,Check on legos?
3/5/2022,Saturday,Project,Proposal take 2,Marked,Team,6,,,
3/6/2022,Sunday,Quiz,Q 05,Marked,Individual,6,Scape + iterate,,
3/7/2022,Monday,Feedback survey,Survey,Not marked,Individual,7,,,
3/8/2022,Tuesday,,,,,7,,,
3/9/2022,Wednesday,Lab,L 04,Marked,Team,7,Art,,
3/10/2022,Thursday,,,,,7,,,
3/11/2022,Friday,Homework,HW 06 ,Marked,Team,7,Money in politics,,
3/12/2022,Saturday,,,,,7,,,
3/13/2022,Sunday,Quiz,Q 06,Marked,Individual,7,Review,,
3/14/2022,Monday,Reflection,R 03,Marked,Individual,8,Data Ethics,,
3/15/2022,Tuesday,,,,,8,,,
3/16/2022,Wednesday,Lab,L 05,Marked,Team,8,La Quinta,,Relabel
3/17/2022,Thursday,,,,,8,,,
3/18/2022,Friday,Reflection,R 04,Marked,Team,8,Data Ethics Canvas,,
3/19/2022,Saturday,,,,,8,,,
3/20/2022,Sunday,Quiz,Q 07,Marked,Individual,8,Simple linear regression,,
3/21/2022,Monday,,,,,9,,,
3/22/2022,Tuesday,Lab,L 06,Marked,Team,9,,,
3/23/2022,Wednesday,Break,,,,9,Course evaluations,,**Make new lab on salaries
3/24/2022,Thursday,Break,,,,9,,,
3/25/2022,Friday,Break,,,,9,Bike rentals DC,,Fix math errors
3/26/2022,Saturday,,,,,9,,,
3/27/2022,Sunday,Quiz,Q 08,Marked,Individual,9,,,
3/28/2022,Monday,Project,Draft,Not marked,Team,10,,,
3/29/2022,Tuesday,Homework,HW 07,Marked,Individual,10,Bike rentals DC,,Fix math errors
3/30/2022,Wednesday,,,,,10,,,
3/31/2022,Thursday,,,,,10,,,
4/1/2022,Friday,,,,,10,,,
4/2/2022,Saturday,,,,,10,,,
4/3/2022,Sunday,Quiz,Q 09,Marked,Individual,10,Modeling overview,,
4/4/2022,Monday,Break,,,,Break,,,
4/5/2022,Tuesday,Break,,,,Break,,,
4/6/2022,Wednesday,Break,,,,Break,,,
4/7/2022,Thursday,Break,,,,Break,,,
4/8/2022,Friday,Break,,,,Break,,,
4/9/2022,Saturday,Break,,,,Break,,,
4/10/2022,Sunday,Break,,,,Break,,,
4/11/2022,Monday,Project,Write up,Marked,Team,11,,,
4/12/2022,Tuesday,Project,Presentation,Marked,Team,11,,,
4/13/2022,Wednesday,,,,,11,,,
4/14/2022,Thursday,Project,Presentation,Marked,Team,11,,,
4/15/2022,Friday,,,,,11,,,
4/16/2022,Saturday,,,,,11,,,
4/17/2022,Sunday,,,,,11,,,
4/18/2022,Monday,Feedback survey,Survey,Not marked,Individual,Finals,,,
4/19/2022,Tuesday,Finals,,,,Finals,,,
4/20/2022,Wednesday,Finals,,,,Finals,,,
4/21/2022,Thursday,Finals,,,,Finals,,,
4/22/2022,Friday,Finals,,,,Finals,,,
